time,PeakPeriod,PeakDirection,UpcrossPeriod,SignificantWaveHeight,SeaTemperature
UTC,s,degrees_true,s,cm,degree_C
2009-01-01T00:29:00Z,2.13,92.8,2.41,33,8.1
2009-01-01T00:59:00Z,11.76,248.9,2.424,37,8.1
2009-01-01T01:29:00Z,2.78,101.3,2.454,41,8.15
2009-01-01T01:59:00Z,2.56,99.8,2.516,47,8.2
2009-01-01T02:29:00Z,3.13,104.1,2.614,52,8.25
2009-01-01T02:59:00Z,3.13,97,2.778,59,8.3
2009-01-01T03:29:00Z,2.94,97,2.721,59,8.3
2009-01-01T03:59:00Z,3.23,101.3,2.74,56,8.35
2009-01-01T04:29:00Z,3.23,104.1,2.649,47,8.35
2009-01-01T04:59:00Z,3.23,99.8,2.837,50,8.3
2009-01-01T05:29:00Z,3.33,105.5,2.963,54,8.3
2009-01-01T05:59:00Z,3.45,102.7,2.92,54,8.2
2009-01-01T06:29:00Z,3.23,108.3,2.878,51,8.2
2009-01-01T06:59:00Z,3.23,108.3,2.703,57,8.2
2009-01-01T07:29:00Z,3.45,111.1,2.778,58,8.2
2009-01-01T07:59:00Z,3.85,118.1,2.797,59,8.2
2009-01-01T08:29:00Z,3.57,108.3,2.899,66,8.2
2009-01-01T08:59:00Z,3.33,101.3,2.837,67,8.25
2009-01-01T09:29:00Z,3.33,111.1,2.837,70,8.35
2009-01-01T09:59:00Z,3.13,97,2.778,61,8.35
2009-01-01T10:29:00Z,2.94,99.8,2.759,57,8.4
2009-01-01T10:59:00Z,3.23,106.9,2.759,60,8.4
2009-01-01T11:29:00Z,3.03,108.3,2.759,64,8.5
2009-01-01T11:59:00Z,3.03,104.1,2.778,65,8.45
2009-01-01T12:29:00Z,2.94,106.9,2.703,64,8.4
2009-01-01T12:59:00Z,3.03,109.7,2.685,65,8.4
2009-01-01T13:29:00Z,2.94,99.8,2.778,63,8.4
2009-01-01T13:59:00Z,3.03,105.5,2.721,55,8.35
2009-01-01T14:29:00Z,2.78,105.5,2.667,50,8.3
2009-01-01T14:59:00Z,2.94,108.3,2.649,54,8.3
2009-01-01T15:29:00Z,2.94,102.7,2.649,53,8.25
2009-01-01T15:59:00Z,3.03,111.1,2.685,55,8.2
2009-01-01T16:29:00Z,3.13,109.7,2.685,50,8.2
2009-01-01T16:59:00Z,2.94,106.9,2.759,53,8.2
2009-01-01T17:29:00Z,3.03,108.3,2.759,53,8.15
2009-01-01T17:59:00Z,3.23,109.7,2.797,48,8.15
2009-01-01T18:29:00Z,3.03,106.9,2.797,46,8.05
2009-01-01T18:59:00Z,3.23,119.5,2.649,43,8.05
2009-01-01T19:29:00Z,2.78,111.1,2.632,48,8.05
2009-01-01T19:59:00Z,10.53,205.3,2.581,50,8.1
2009-01-01T20:29:00Z,2.78,106.9,2.581,50,8.1
2009-01-01T20:59:00Z,2.94,116.7,2.614,44,8.1
2009-01-01T21:29:00Z,2.94,123.8,2.667,48,8.2
2009-01-01T21:59:00Z,2.86,112.5,2.649,53,8.35
2009-01-01T22:29:00Z,2.5,97,2.564,59,8.4
2009-01-01T22:59:00Z,2.63,101.3,2.597,54,8.4
2009-01-01T23:29:00Z,2.56,104.1,2.597,53,8.45
2009-01-01T23:59:00Z,2.7,104.1,2.614,60,8.3
2009-01-02T00:29:00Z,2.86,98.4,2.564,56,8.35
2009-01-02T00:59:00Z,2.78,102.7,2.532,55,8.3
2009-01-02T01:29:00Z,2.78,101.3,2.516,53,8.15
2009-01-02T01:59:00Z,2.78,101.3,2.532,49,8.15
2009-01-02T02:29:00Z,2.7,101.3,2.532,45,8.05
2009-01-02T02:59:00Z,2.86,98.4,2.564,40,8
2009-01-02T03:29:00Z,2.56,98.4,2.548,44,8
2009-01-02T03:59:00Z,2.78,99.8,2.548,44,7.95
2009-01-02T04:29:00Z,2.86,101.3,2.597,47,7.95
2009-01-02T04:59:00Z,3.13,101.3,2.649,48,7.9
2009-01-02T05:29:00Z,2.94,97,2.721,48,7.9
2009-01-02T05:59:00Z,10.53,232,2.597,49,7.95
2009-01-02T06:29:00Z,2.94,105.5,2.685,50,8
2009-01-02T06:59:00Z,3.03,99.8,2.667,48,7.95
2009-01-02T07:29:00Z,2.94,99.8,2.649,46,8
2009-01-02T07:59:00Z,3.23,95.6,2.703,53,8.2
2009-01-02T08:29:00Z,3.03,95.6,2.667,53,8.25
2009-01-02T08:59:00Z,3.23,94.2,2.685,53,8.3
2009-01-02T09:29:00Z,2.86,97,2.667,58,8.35
2009-01-02T09:59:00Z,3.03,95.6,2.667,68,8.4
2009-01-02T10:29:00Z,2.94,98.4,2.685,68,8.4
2009-01-02T10:59:00Z,3.03,102.7,2.703,67,8.35
2009-01-02T11:29:00Z,2.86,104.1,2.721,70,8.3
2009-01-02T11:59:00Z,3.13,101.3,2.778,68,8.3
2009-01-02T12:29:00Z,3.23,104.1,2.759,66,8.25
2009-01-02T12:59:00Z,3.13,99.8,2.685,69,8.25
2009-01-02T13:29:00Z,3.03,113.9,2.685,69,8.2
2009-01-02T13:59:00Z,3.13,105.5,2.721,63,8.15
2009-01-02T14:29:00Z,3.03,104.1,2.759,64,8.15
2009-01-02T14:59:00Z,3.33,108.3,2.74,62,8.15
2009-01-02T15:29:00Z,2.94,104.1,2.721,61,8.15
2009-01-02T15:59:00Z,3.03,97,2.74,66,8.1
2009-01-02T16:29:00Z,2.94,104.1,2.667,58,8.1
2009-01-02T16:59:00Z,2.94,104.1,2.597,53,8.2
2009-01-02T17:29:00Z,3.23,98.4,2.721,58,8.25
2009-01-02T17:59:00Z,3.23,101.3,2.614,47,8.25
2009-01-02T18:29:00Z,2.86,106.9,2.548,36,8.3
2009-01-02T18:59:00Z,2.86,102.7,2.516,33,7.95
2009-01-02T19:29:00Z,10.53,226.4,2.439,27,7.75
2009-01-02T19:59:00Z,10.53,220.8,2.424,27,7.8
2009-01-02T20:29:00Z,10.53,237.7,2.484,28,7.75
2009-01-02T20:59:00Z,10.53,222.2,2.548,29,7.8
2009-01-02T21:29:00Z,2.33,90,2.395,29,7.85
2009-01-02T21:59:00Z,2.38,98.4,2.41,32,7.95
2009-01-02T22:29:00Z,10.53,213.8,2.469,32,7.8
2009-01-02T22:59:00Z,10,226.4,2.516,32,7.9
2009-01-02T23:29:00Z,18.18,203.9,2.484,38,7.9
2009-01-02T23:59:00Z,2.78,104.1,2.5,46,8
2009-01-03T00:29:00Z,2.78,101.3,2.516,52,8.05
2009-01-03T00:59:00Z,2.7,99.8,2.548,49,8.05
2009-01-03T01:29:00Z,18.18,210.9,2.564,55,8
2009-01-03T01:59:00Z,18.18,222.2,2.581,54,7.85
2009-01-03T02:29:00Z,18.18,239.1,2.632,51,7.9
2009-01-03T02:59:00Z,16.67,243.3,2.614,46,7.9
2009-01-03T03:29:00Z,16.67,236.3,2.703,50,7.7
2009-01-03T03:59:00Z,16.67,232,2.667,49,7.7
2009-01-03T04:29:00Z,16.67,226.4,2.703,44,7.75
2009-01-03T04:59:00Z,16.67,233.4,2.778,42,7.8
2009-01-03T05:29:00Z,16.67,234.8,2.721,37,7.7
2009-01-03T05:59:00Z,16.67,216.6,2.985,38,7.7
2009-01-03T06:29:00Z,16.67,233.4,2.778,38,7.75
2009-01-03T06:59:00Z,15.38,230.6,2.703,37,7.8
2009-01-03T07:29:00Z,15.38,227.8,2.721,45,7.85
2009-01-03T07:59:00Z,16.67,233.4,2.703,43,7.9
2009-01-03T08:29:00Z,16.67,229.2,3.053,43,8.15
2009-01-03T08:59:00Z,16.67,234.8,3.053,41,8.15
2009-01-03T09:29:00Z,15.38,229.2,2.837,43,8.25
2009-01-03T09:59:00Z,15.38,225,2.837,53,8.15
2009-01-03T10:29:00Z,16.67,234.8,2.92,60,8.1
2009-01-03T10:59:00Z,16.67,240.5,2.92,52,8
2009-01-03T11:29:00Z,15.38,237.7,2.817,54,7.95
2009-01-03T11:59:00Z,16.67,216.6,2.857,56,7.85
