angle,speed,percent
10,2 - 5,0.244
10,5 - 7,0.411
10,7 - 10,0.423
10,10 - 15,0.573
10,15 - 20,0.118
10,20+,0.028
20,2 - 5,0.227
20,5 - 7,0.326
20,7 - 10,0.341
20,10 - 15,0.466
20,15 - 20,0.099
20,20+,0.022
30,2 - 5,0.276
30,5 - 7,0.38
30,7 - 10,0.386
30,10 - 15,0.449
30,15 - 20,0.086
30,20+,0.029
40,2 - 5,0.343
40,5 - 7,0.455
40,7 - 10,0.386
40,10 - 15,0.42
40,15 - 20,0.069
40,20+,0.018
50,2 - 5,0.336
50,5 - 7,0.435
50,7 - 10,0.368
50,10 - 15,0.47
50,15 - 20,0.094
50,20+,0.019
60,2 - 5,0.28
60,5 - 7,0.392
60,7 - 10,0.353
60,10 - 15,0.464
60,15 - 20,0.124
60,20+,0.025
70,2 - 5,0.31
70,5 - 7,0.392
70,7 - 10,0.359
70,10 - 15,0.489
70,15 - 20,0.107
70,20+,0.025
80,2 - 5,0.321
80,5 - 7,0.467
80,7 - 10,0.454
80,10 - 15,0.53
80,15 - 20,0.104
80,20+,0.02
90,2 - 5,0.374
90,5 - 7,0.502
90,7 - 10,0.469
90,10 - 15,0.489
90,15 - 20,0.071
90,20+,0.017
100,2 - 5,0.408
100,5 - 7,0.493
100,7 - 10,0.419
100,10 - 15,0.411
100,15 - 20,0.056
100,20+,0.006
110,2 - 5,0.473
110,5 - 7,0.54
110,7 - 10,0.438
110,10 - 15,0.424
110,15 - 20,0.052
110,20+,0.011
120,2 - 5,0.715
120,5 - 7,0.719
120,7 - 10,0.503
120,10 - 15,0.459
120,15 - 20,0.053
120,20+,0.011
130,2 - 5,1.044
130,5 - 7,0.957
130,7 - 10,0.626
130,10 - 15,0.582
130,15 - 20,0.087
130,20+,0.01
140,2 - 5,1.105
140,5 - 7,0.904
140,7 - 10,0.722
140,10 - 15,0.751
140,15 - 20,0.108
140,20+,0.017
150,2 - 5,0.929
150,5 - 7,0.762
150,7 - 10,0.629
150,10 - 15,0.745
150,15 - 20,0.114
150,20+,0.02
160,2 - 5,0.696
160,5 - 7,0.676
160,7 - 10,0.562
160,10 - 15,0.755
160,15 - 20,0.148
160,20+,0.031
170,2 - 5,0.503
170,5 - 7,0.59
170,7 - 10,0.548
170,10 - 15,0.744
170,15 - 20,0.153
170,20+,0.035
180,2 - 5,0.372
180,5 - 7,0.56
180,7 - 10,0.593
180,10 - 15,0.826
180,15 - 20,0.186
180,20+,0.058
190,2 - 5,0.345
190,5 - 7,0.473
190,7 - 10,0.472
190,10 - 15,0.686
190,15 - 20,0.168
190,20+,0.057
200,2 - 5,0.323
200,5 - 7,0.446
200,7 - 10,0.408
200,10 - 15,0.577
200,15 - 20,0.162
200,20+,0.056
210,2 - 5,0.34
210,5 - 7,0.427
210,7 - 10,0.346
210,10 - 15,0.499
210,15 - 20,0.121
210,20+,0.043
220,2 - 5,0.322
220,5 - 7,0.33
220,7 - 10,0.307
220,10 - 15,0.414
220,15 - 20,0.104
220,20+,0.035
230,2 - 5,0.294
230,5 - 7,0.291
230,7 - 10,0.266
230,10 - 15,0.357
230,15 - 20,0.099
230,20+,0.039
240,2 - 5,0.304
240,5 - 7,0.287
240,7 - 10,0.26
240,10 - 15,0.387
240,15 - 20,0.093
240,20+,0.053
250,2 - 5,0.342
250,5 - 7,0.32
250,7 - 10,0.266
250,10 - 15,0.407
250,15 - 20,0.097
250,20+,0.061
260,2 - 5,0.414
260,5 - 7,0.362
260,7 - 10,0.301
260,10 - 15,0.483
260,15 - 20,0.133
260,20+,0.115
270,2 - 5,0.461
270,5 - 7,0.447
270,7 - 10,0.366
270,10 - 15,0.613
270,15 - 20,0.244
270,20+,0.148
280,2 - 5,0.488
280,5 - 7,0.506
280,7 - 10,0.433
280,10 - 15,0.764
280,15 - 20,0.317
280,20+,0.186
290,2 - 5,0.517
290,5 - 7,0.506
290,7 - 10,0.434
290,10 - 15,0.824
290,15 - 20,0.342
290,20+,0.186
300,2 - 5,0.522
300,5 - 7,0.601
300,7 - 10,0.501
300,10 - 15,1.109
300,15 - 20,0.493
300,20+,0.291
310,2 - 5,0.471
310,5 - 7,0.637
310,7 - 10,0.709
310,10 - 15,1.573
310,15 - 20,0.752
310,20+,0.366
320,2 - 5,0.417
320,5 - 7,0.62
320,7 - 10,0.707
320,10 - 15,1.552
320,15 - 20,0.687
320,20+,0.31
330,2 - 5,0.343
330,5 - 7,0.524
330,7 - 10,0.585
330,10 - 15,1.189
330,15 - 20,0.426
330,20+,0.176
340,2 - 5,0.264
340,5 - 7,0.427
340,7 - 10,0.488
340,10 - 15,0.886
340,15 - 20,0.264
340,20+,0.101
350,2 - 5,0.246
350,5 - 7,0.354
350,7 - 10,0.38
350,10 - 15,0.682
350,15 - 20,0.169
350,20+,0.053
360,2 - 5,0.222
360,5 - 7,0.446
360,7 - 10,0.489
360,10 - 15,0.698
360,15 - 20,0.148
360,20+,0.035
