date,tmp,min_tmp,avg_tmp,max_tmp,min_record,max_record
1/1/2012,46,27.8,34,40.2,8,60
1/2/2012,41.5,27.6,33.8,40,9,60
1/3/2012,25,27.5,33.7,39.9,10,63
1/4/2012,21,27.3,33.5,39.8,4,66
1/5/2012,34.5,27.2,33.4,39.6,9,64
1/6/2012,44,27,33.3,39.5,8,72
1/7/2012,53,26.9,33.1,39.4,4,62
1/8/2012,39.5,26.8,33,39.3,3,64
1/9/2012,36,26.7,32.9,39.2,1,66
1/10/2012,40.5,26.6,32.9,39.1,2,59
1/11/2012,41.5,26.5,32.8,39.1,4,62
1/12/2012,43.5,26.4,32.7,39,1,68
1/13/2012,39.5,26.4,32.7,39,4,62
1/14/2012,29.5,26.3,32.6,38.9,7,64
1/15/2012,21.5,26.3,32.6,38.9,0,62
1/16/2012,27,26.2,32.6,38.9,2,59
1/17/2012,44.5,26.2,32.6,38.9,-1,59
1/18/2012,40,26.2,32.6,38.9,0,64
1/19/2012,28.5,26.2,32.6,38.9,-3,64
1/20/2012,31,26.2,32.6,39,0,61
1/21/2012,25,26.2,32.6,39,-3,64
1/22/2012,27,26.2,32.6,39,5,57
1/23/2012,42.5,26.2,32.7,39.1,3,62
1/24/2012,48,26.3,32.7,39.1,3,68
1/25/2012,40.5,26.3,32.8,39.2,2,57
1/26/2012,36.5,26.4,32.8,39.3,5,72
1/27/2012,49,26.4,32.9,39.4,0,66
1/28/2012,42.5,26.5,33,39.5,7,60
1/29/2012,39,26.6,33.1,39.6,2,68
1/30/2012,37,26.6,33.2,39.7,4,63
1/31/2012,48.5,26.7,33.3,39.8,2,61
2/1/2012,56.5,26.8,33.4,39.9,3,66
2/2/2012,43.5,26.9,33.5,40,-1,59
2/3/2012,37.5,27,33.6,40.2,1,64
2/4/2012,41,27.1,33.7,40.3,10,68
2/5/2012,37,27.2,33.8,40.4,6,70
2/6/2012,43,27.3,34,40.6,4,69
2/7/2012,43.5,27.4,34.1,40.7,5,52
2/8/2012,36,27.5,34.2,40.9,-2,62
2/9/2012,39.5,27.7,34.4,41.1,7,62
2/10/2012,41,27.8,34.5,41.2,4,60
2/11/2012,35,27.9,34.7,41.4,2,63
